housing_type,bedrooms,bathrooms,guest_toilet,parking_space,district,address,rent_per_annum, district_code,local government
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,1,1,0,0,lekki,"Lekki Phase 1, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
flat / apartment,2,2,1,0,lekki,"Ikate Elegushi, Lekki, Lagos",3000000,35,eti osa
