latitude,longitude,altitude,geometry,state_code,source,name,ward_code,global_id
6.4163891,2.8594113,,Point,LA,GRID,Forte Oil,LASBDY06,2133f6fc-864b-4b54-af6b-2abcb4c8ec74
6.5947334,3.3034525,,Point,LA,GRID,Mobil Filling Station 2,LASAMO35,22923260-ffd5-4bf1-9c68-fbe3017fb659
6.4295315,2.8921753,,Point,LA,GRID,MRS Filling Station,LASBDY03,229b0fdc-04c9-4dc6-be3b-99cf3d7f869d
6.6345883,3.2558738,,Point,LA,GRID,Beta Silver Crown,LASAMO06,229de514-f4cf-49fa-b214-776bd7031a41
6.5539083,3.3027793,,Point,LA,GRID,Wheel Oil Filling Station,LASOIO02,229fbb2c-7b93-4a8f-9cc2-8e439ddf03cb
6.6121171,3.940227,,Point,LA,GRID,Conoil Filling Station,LASEPE15,23215552-aa4a-469f-891d-18818b99b695
6.6402297,3.3580156,,Point,LA,GRID,Amuf Nigeria Ltd,LASIKA08,234b535a-d4db-4d41-9f41-4f8771989e99
6.4907423,3.1747952,,Point,LA,GRID,Royal Symbol Nigeria Ltd,LASOJO05,23739c70-67b2-47d5-ace9-69d09fddbbe0
6.5398033,3.3553917,,Point,LA,GRID,Mobil Filling Station 1,LASMUN12,237cdc0c-8d44-4d89-9b1e-794804ca1cdb
6.6229573,3.3243139,,Point,LA,GRID,Hayday,LASAGG13,24019bdf-a4fd-438d-a481-c3dd5ce3cd21
6.6405064,3.987399,,Point,LA,GRID,Agbolade Oil and Gas,LASEPE15,252b3a84-0db1-4fe0-a455-88ba4bf455ac
6.5999367,3.3825117,,Point,LA,GRID,Total Filling Station,LASKSE04,25d329e0-936b-49e9-90e9-6a925169e5fa
6.5598854,3.4759449,,Point,LA,GRID,Oando Filling Station,LASIKU13,25d77fc8-df1f-40f5-88df-6536628bfa16
6.4613119,3.3928642,,Point,LA,GRID,Bovas Filling Station,LASLID10,25f7d9cf-eb67-4076-a797-7a87ff46ea8b
6.4763987,3.7643676,,Point,LA,GRID,Con Oil Filling Station,LASIUI05,262d4f8e-b156-4ed7-a0f8-a6d152f12a5f
6.4855133,3.056915,,Point,LA,GRID,Sea Bird Oil,LASBDY08,26c430fd-7c98-472e-aad1-9223af69fe22
6.47844,3.5699617,,Point,LA,GRID,NIPCO,LASEOA03,26e1a13b-b40b-408e-9912-383973e283e0
6.505689,3.378202,,Point,LA,GRID,Mobil Filling Station,LASLMD05,2775abe0-fdcd-4f31-ae89-6ef3d66bd34c
6.6700623,3.3240903,,Point,LA,GRID,Rab Oil Filling Station,LASIOE11,27c55fe0-cd89-4d2c-92cf-2d47452903dc
6.3834132,2.7432722,,Point,LA,GRID,Labisky Oil and Gas,LASBDY10,282cd805-7418-4201-94bb-ff1074fa4d41
6.6197397,3.4759203,,Point,LA,GRID,Mallo Oil,LASIKU22,284cc80c-48a5-46d6-aaea-194dce84827b
6.5524517,3.22547,,Point,LA,GRID,Omolad Filling Station,LASAMO17,287d4975-5d93-418f-8346-ee5f93f42cdd
6.599815,3.365215,,Point,LA,GRID,Total Filling Station 2,LASIKA15,28b5c935-cae3-4d2b-a696-ca422deb1574
6.4406983,3.5311983,,Point,LA,GRID,Opposite Twin Lake Estate,LASEOA15,29099885-d576-488c-b7cc-410200ae1b23
6.4919223,2.988406,,Point,LA,GRID,Filling Station,LASBDY13,292814ae-796f-48fa-8a16-5000191246a5
6.5188893,3.3181242,,Point,LA,GRID,Forte Oil,LASOIO14,294c543a-9a21-4f4e-aa86-66ffeace1b7d
6.5616788,3.2712109,,Point,LA,GRID,Metrotech Petroleum,LASAMO28,29563e75-4388-44d1-b6ca-c732f5adbd53
6.4177783,2.7293776,,Point,LA,GRID,Penafort Filling Station,LASBDY10,2aeee152-7027-4d24-bbad-80b45fceafb5
6.5350068,3.3055325,,Point,LA,GRID,NNPC Filling Station,LASOIO03,2b442039-397f-4fc2-81d0-d24d0fc4b6ad
6.4582233,3.139225,,Point,LA,GRID,Sacao Oil Nig Ltd,LASOJO03,2b81ed9b-5663-4368-acf5-e3ce45ab0667
6.51486,3.2649133,,Point,LA,GRID,Total Filling Station,LASAMO24,2bcb6b8b-1141-4f58-8ddb-da612fe1a28b
6.6813088,3.9825595,,Point,LA,GRID,Inter Citadel Oil Co Ltd,LASEPE13,2c300f2b-8503-45bb-ae3a-44a1cef0803b
6.4800501,3.1425704,,Point,LA,GRID,Forte Oil Filling Station,LASOJO13,2c945a31-c56d-49fb-a4f7-b573fddc2463
6.4833217,3.0433656,,Point,LA,GRID,Annig and Nowas Limited,LASBDY08,2ec3ccec-71b7-402b-9a24-a93a7cfa1d80
6.5037401,3.1995536,,Point,LA,GRID,Forte Oil,LASOJO04,2f2db03d-31d4-41d3-aca5-85fc84ca5b51
6.6605773,3.5057304,,Point,LA,GRID,First Funtad Filling Station,LASIKU06,2fce8469-d1c7-4340-a4b4-5380d01f3c7b
6.6085868,3.2852031,,Point,LA,GRID,Moj Filling Statiom,LASAMO29,3066ee92-85c3-439a-9ee1-78ac657f4906
6.3837298,2.7402293,,Point,LA,GRID,Forte Oil,LASBDY10,309d26bb-7400-4463-992e-980ba8189186
6.6069251,3.2631133,,Point,LA,GRID,Firstroyal Filling Station,LASAMO02,30b9a17d-e03d-44ca-8e2d-813ba915ebfc
6.5698633,3.302635,,Point,LA,GRID,Petroleum Managers,LASOIO02,30c523ed-e2e6-4535-b9a4-a3c94bb626b2
6.6035074,3.2934092,,Point,LA,GRID,Forte Oil Filling Station,LASAMO10,30efd25c-64a8-4d8a-8bde-09c8e8b6c32a
6.6448322,3.3151659,,Point,LA,GRID,Alinco Filling Station,LASAGG08,3144c9b7-460c-4efa-922a-6cdda2397ced
6.3841402,2.7336639,,Point,LA,GRID,Mayus Oil,LASBDY10,32471e77-0752-422a-8f0d-5a72d1bb2a01
6.5328744,3.2186971,,Point,LA,GRID,Sungaz O Petroleum Nigeria Limited,LASAMO08,32ec3338-275d-4abb-89a9-491792337f27
6.5843667,3.3065783,,Point,LA,GRID,Oando Filling Station 1,LASAMO30,3311402c-8989-4621-9a3b-0c2d21e445d1
6.6619864,3.519995,,Point,LA,GRID,Fortis Filling Station,LASIKU03,337191d5-e290-460a-a4cd-ab6ca6e82bc1
6.473151,3.3126226,,Point,LA,GRID,Ton Tan Limited,LASAON04,33c47279-557b-4451-a211-1b3306048332
6.6822517,3.29749,,Point,LA,GRID,Lado Oil,LASIOE08,33f4411e-1522-4b8f-9ede-a2c4cfd51f80
6.4557994,3.2605892,,Point,LA,GRID,Oando Filling Station,LASAON08,34edde73-8890-4442-ab22-441e2fd87629
6.6411545,3.5149951,,Point,LA,GRID,Mallo Filling Station,LASIKU06,3528350b-de3b-480c-af46-e66c6d507787
6.4651877,3.3345294,,Point,LA,GRID,Femoye Oil and Gas Ltd,LASATO03,355544b1-81ac-41c2-8d10-80d65e9848d9
6.5650448,3.2397227,,Point,LA,GRID,Alanamu Fuel Station Ltd,LASAMO23,35646551-8785-4ddb-950d-e5dc2763723c
6.6219334,3.2570292,,Point,LA,GRID,Palm Petroleum,LASAMO07,3570be58-22d9-4ec9-b4e8-ae05d4137840
6.6198777,3.2921836,,Point,LA,GRID,Gas Filling Station,LASAMO32,3571c735-98a3-48d0-b00a-bb5c1bda5dd3
6.6316764,3.5400767,,Point,LA,GRID,Be Happy Filling Station,LASIKU29,35cf00a0-5154-4731-ad1d-92ed0358a2a7
6.5823137,3.2107132,,Point,LA,GRID,Belbees Oil and Gas,LASAMO15,35e082be-ed36-4ee9-9f26-1ec0bb6e6792
6.5360328,3.3492224,,Point,LA,GRID,NNPC Filling Station,LASMUN12,3651738b-4126-4624-b7a7-2b50732d3f50
6.6090046,3.3540202,,Point,LA,GRID,Mobil Filling Station 2,LASIKA04,375319f2-47ca-4e4a-a775-d7b28113735f
6.4267879,2.8916415,,Point,LA,GRID,NNPC Filling Station,LASBDY18,3768dbdf-efdb-4052-846e-4b89bd3b5752
6.4542567,3.4032667,,Point,LA,GRID,Total Filling Station 2,LASLID12,37922377-0345-4a3b-8831-80741aa51a0e
6.5771183,3.2756917,,Point,LA,GRID,Petrocam Filling Station,LASAMO28,38b597e7-2f01-4d55-9958-f592dcc2b50b
6.4720425,3.3162262,,Point,LA,GRID,MRS Filling Station,LASAON04,3930de88-01d2-40b5-b43d-b8d03ecf43de
6.5404558,3.2962828,,Point,LA,GRID,Forte Oil,LASOIO03,394c3436-f126-494e-a8fa-73cd909957b2
6.6094972,3.3700737,,Point,LA,GRID,Conoil Filling Station,LASKSE21,39fd6e99-4c5b-4233-bfbb-5052266c66a7
6.604691,3.4941466,,Point,LA,GRID,Mobil Oil,LASIKU15,3aa1666f-6098-426f-a5cb-2bd23b0b8591
6.454755,3.55573,,Point,LA,GRID,Oando Filling Station,LASEOA08,3ad0bbc1-c1de-4862-9071-ffd91e84b87d
6.6150868,3.2976478,,Point,LA,GRID,Mobil Filling Station,LASAMO32,3b5d0177-024c-42a6-8b08-5fd1d4369624
6.4975287,3.1169643,,Point,LA,GRID,Forte Oil Petroleum Station,LASOJO06,3bd7f659-8692-4730-9b29-e792271eb971
6.6071791,3.2277605,,Point,LA,GRID,Afola Oil And Gas,LASAMO14,3c0e1989-8fc4-42cf-9fa7-a7bdef2756d4
6.6222548,3.2895034,,Point,LA,GRID,Omolad Oil and Service,LASAMO04,3c10b0e4-81cd-4b69-9b7d-dbf5fe1dcaec
6.419655,2.7530132,,Point,LA,GRID,Excel Station,LASBDY10,3c37f919-9607-4c14-9781-9dfa1b458d37
6.4757704,3.7480697,,Point,LA,GRID,Zone 4 Energy,LASIUI05,3cc79950-8746-48d1-89c3-3662502ab103
